Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
Disequilibrium vegetation dynamics under future climate change.,Brody Sandel,American journal of botany,2013,4,20,https://www.ncbi.nlm.nih.gov/pubmed/23757445
,Jens-Christian Svenning,,,,,
Do initial responses to drugs predict future use or abuse?,Harriet de Wit,Neuroscience and biobehavioral reviews,2012,2,,https://www.ncbi.nlm.nih.gov/pubmed/22542906
,Tamara J Phillips,,,,,
Dual Motion GAN for Future-Flow Embedded Video Prediction,Eric P. Xing,2017 IEEE International Conference on Computer…,2017,8,38,https://arxiv.org/pdf/1708.00284.pdf
,Lisa Lee,,,,,
,Wei Dai,,,,,
,Xiaodan Liang,,,,,
E-Government at the American Grassroots: Future Trajectory,Donald F. Norris,Proceedings of the 38th Annual Hawaii…,2005,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1385490
Early Symptom Trajectories as Predictors of Treatment Outcome for Citalopram Versus Placebo.,Bret R. Rutherford,The American journal of geriatric psychiatry…,2017,,,https://www.ncbi.nlm.nih.gov/pubmed/28318797
,Patrick J. Brown,,,,,
,S P Steven P Roose,,,,,
,Sigal Zilcha-Mano,,,,,
Emotional adjustment over 1 year post-diagnosis in patients with cancer: understanding and predicting adjustment trajectories,Andrea Vodermaier,Supportive Care in Cancer,2014,,,http://doi.org/10.1007/s00520-014-2492-9
,Cecelia Marshall,,,,,
,Katerina Rnic,,,,,
,Regina Mackenzie,,,,,
,Wolfgang Linden,,,,,
Emotional aging: recent findings and future trends.,Laura L. Carstensen,The journals of gerontology. Series B…,2010,12,,https://pdfs.semanticscholar.org/f3ce/ed3219f8c7e99b71ba0c87342a1c762554a0.pdf
,Susanne Scheibe,,,,,
Eye movement trajectories and what they tell us,Jan Theeuwes,Neuroscience & Biobehavioral Reviews,2006,3,,https://www.sciencedirect.com/science/article/pii/S0149763405001740?dgcid=api_sd_search-api-endpoint
,M. Meeter,,,,,
,Stefan Van der Stigchel,,,,,
FACET : Future ATM Concepts Evaluation Tool,Banavar Sridhar,,2000,21,7,https://pdfs.semanticscholar.org/0d29/f20019044c08c26ab1530a9481c5ac006758.pdf
,Gano Broto Chatterji,,,,,
,Kapil S. Sheth,,,,,
,Karl D. Bilimoria,,,,,
,Shon Randall Grabbe,,,,,
Fear-avoidance model of chronic pain: the next generation.,Christopher Eccleston,The Clinical journal of pain,2012,10,,https://pdfs.semanticscholar.org/5e4d/4ab766d93109a612ecc3f4b10fb1d6444289.pdf
,Geert Crombez,,,,,
,Johan W. S. Vlaeyen,,,,,
,Paul Karoly,,,,,
,Stefaan van Damme,,,,,
Fetal origins of developmental plasticity: are fetal cues reliable predictors of future nutritional environments?,Christopher W Kuzawa,American journal of human biology : the official…,2005,6,,https://pdfs.semanticscholar.org/5e42/11b31b97b083e72ac5723291a34a3a56db70.pdf
Forecasting the Future of Predictive Crime Mapping,Elizabeth R. Groff,,2002,,9,https://pdfs.semanticscholar.org/2d6e/245b08c76a49d9be31578ed8a172b85e2e56.pdf
,Nancy G. La Vigne,,,,,
Forecasting the Future of Predictive Crime Mapping,Elizabeth R. Groff,,2002,,9,https://pdfs.semanticscholar.org/2d6e/245b08c76a49d9be31578ed8a172b85e2e56.pdf
,Nancy G. La Vigne,,,,,
From interaction to trajectories: designing coherent journeys through user experiences,Boriana Koleva,CHI,2009,12,28,http://dl.acm.org/citation.cfm?id=1518812
,Gabriella Giannachi,,,,,
,Steve Benford,,,,,
,Tom Rodden,,,,,
Future E-Enabled Aircraft Communications and Security: The Next 20 Years and Beyond,Chuck Royalty,Proceedings of the IEEE,2011,2,15,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6018242
,Krishna Sampigethaya,,,,,
,Radha Poovendran,,,,,
,Sudhakar Shetty,,,,,
,Terry Davis,,,,,
Gaussian process regression flow for analysis of motion trajectories,Dongryeol Lee,2011 International Conference on Computer Vision,2011,10,26,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6126365
,Irfan A. Essa,,,,,
,Kihwan Kim,,,,,
Gender associated developmental trajectories of SDQ-dysregulation profile and its predictors in children.,Andreas Becker,Psychological medicine,2018,,,https://www.ncbi.nlm.nih.gov/pubmed/28637519
,Barbara Kunze,,,,,
,Biyao Wang,,,,,
Generating Calligraphic Trajectories with Model Predictive Control,Daniel Berio,Graphics Interface,2017,,,https://pdfs.semanticscholar.org/e0bd/a4e5704de25fcf526c0e02023addb023b85d.pdf
,Frederic Fol Leymarie,,,,,
,Sylvain Calinon,,,,,
Generating dynamically feasible trajectories for quadrotor cameras,Mike Roberts,ACM Trans. Graph.,2016,1,13,http://dl.acm.org/citation.cfm?id=2925980
,Pat Hanrahan,,,,,
Global population trajectories of tunas and their relatives.,Andrew B. Cooper,Proceedings of the National Academy of Sciences…,2011,1,28,https://pdfs.semanticscholar.org/fa2c/6fe302c49e2923eb13792d4609d821c8d057.pdf
,Iago Mosqueira,,,,,
,Juan Freire,,,,,
,María Jose Juan-Jordá,,,,,
,Nicholas K Dulvy,,,,,
Global trajectories of the long-term decline of coral reef ecosystems.,Jeremy B. C. Jackson,Science,2003,14,,https://pdfs.semanticscholar.org/74e6/d7ba8773f73489267d980835ffb380530621.pdf
,John M Pandolfi,,,,,
,Roger Bradbury,,,,,
Group-based trajectories of depressive symptoms and the predictors in the older population.,Hui-Chuan Hsu,International journal of geriatric psychiatry,2012,,,https://www.ncbi.nlm.nih.gov/pubmed/22778035
Group-based trajectory modeling in clinical research.,Candice L. Odgers,Annual review of clinical psychology,2010,13,,https://pdfs.semanticscholar.org/e398/6fe2ce61475b26d52c5858bcdcc9051d2882.pdf
,Daniel S. Nagin,,,,,
Integrating person-centered and variable-centered analyses: growth mixture modeling with latent trajectory classes.,Bengt O. Muthén,"Alcoholism, clinical and experimental research",2000,79,,https://pdfs.semanticscholar.org/244d/d37e40c62e6f0e0b0019a072d4331f936d89.pdf
,Linda K. Muthén,,,,,
Intent Prediction and Trajectory Forecasting via Predictive Inverse Linear-Quadratic Regulation,Anqi Liu,AAAI,2015,3,6,https://pdfs.semanticscholar.org/1ae1/55a1a227db2c141bfa68d4de41c63b1e2eba.pdf
,Brian D. Ziebart,,,,,
,Mathew Monfort,,,,,
Internal models for motor control and trajectory planning.,Mitsuo Kawato,Current opinion in neurobiology,1999,105,,https://pdfs.semanticscholar.org/f1ca/967936db0f1f3cc33010ac60111a86ca9010.pdf
Internal models for motor control and trajectory planning.,Mitsuo Kawato,Current opinion in neurobiology,1999,105,,https://pdfs.semanticscholar.org/f1ca/967936db0f1f3cc33010ac60111a86ca9010.pdf
Kernel density estimation for target trajectory prediction,Christian Gagné,2015 IEEE/RSJ International Conference on…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7353858
,Marc Parizeau,,,,,
,Vahab Akbarzadeh,,,,,
Land-Cover-Change Trajectories in Southern Cameroon,Benoit Mertens,,2000,13,,https://pdfs.semanticscholar.org/d3f2/8a828fa4adab349d9ccedbe6e16c4ba92628.pdf
,Eric F. Lambin,,,,,
Limited validity of equations to predict the future h index,Miguel A. García-Pérez,Scientometrics,2013,,,http://doi.org/10.1007/s11192-013-0979-7
Longitudinal trajectories and predictors of adolescent suicidal ideation and attempts following inpatient hospitalization.,Anthony Spirito,Journal of consulting and clinical psychology,2008,8,,https://pdfs.semanticscholar.org/f6e0/6293956eb6ef47c9f0b927f23105f7e162e7.pdf
,Charissa Siew Lyng Cheah,,,,,
,Julie Wargo Aikins,,,,,
,Matthew K. Nock,,,,,
,Mitchell J Prinstein,,,,,
,Valerie A. Simon,,,,,
Matrix factorization on semantic trajectories for predicting future semantic locations,Antonios Karatzoglou,2017 IEEE 13th International Conference on…,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8115810
,Michael Beigl,,,,,
,Stefan Christian Lamp,,,,,
Matrix factorization on semantic trajectories for predicting future semantic locations,Antonios Karatzoglou,2017 IEEE 13th International Conference on…,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8115810
,Michael Beigl,,,,,
,Stefan Christian Lamp,,,,,
Minimum snap trajectory generation and control for quadrotors,Daniel Mellinger,2011 IEEE International Conference on Robotics…,2011,60,166,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980409
,Vijay Kumar,,,,,
Mining Frequent Trajectories of Moving Objects for Location Prediction,Mikolaj Morzy,MLDM,2007,9,20,https://pdfs.semanticscholar.org/53d7/ef68ded137a5e85e034131b66036df849650.pdf
Mining Object Similarity for Predicting Next Locations,Meng Chen,Journal of Computer Science and Technology,2016,,,http://doi.org/10.1007/s11390-016-1654-2
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining Object Similarity for Predicting Next Locations,Meng Chen,Journal of Computer Science and Technology,2016,,,http://doi.org/10.1007/s11390-016-1654-2
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining moving patterns for predicting next location,Meng Chen,Inf. Syst.,2015,,,http://doi.org/10.1016/j.is.2015.07.001
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining moving patterns for predicting next location,Meng Chen,Inf. Syst.,2015,,,http://doi.org/10.1016/j.is.2015.07.001
,Xiaohui Yu,,,,,
,Yang Liu,,,,,
Mining online footprints to predict user's next location,Qunying Huang,International Journal of Geographical Information…,2017,,,http://doi.org/10.1080/13658816.2016.1209506
Mobile robot predictive trajectory tracking,Martin Seyr,ICINCO,2005,,,https://pdfs.semanticscholar.org/2705/cebd8b6bb1f23883042d866e20250c7e2ea2.pdf
,Stefan Jakubek,,,,,
Model predictive control: Recent developments and future promise,David Q. Mayne,Automatica,2014,14,122,http://doi.org/10.1016/j.automatica.2014.10.128
Model predictive control: Recent developments and future promise,David Q. Mayne,Automatica,2014,14,122,http://doi.org/10.1016/j.automatica.2014.10.128
Modeling Spatial-Temporal Dynamics of Human Movements for Predicting Future Trajectories,John Folkesson,"AAAI Workshop: Knowledge, Skill, and Behavior…",2015,,,https://pdfs.semanticscholar.org/9291/9b0f018a7f599bfed1bb559241a0bfa01c69.pdf
,Patric Jensfelt,,,,,
,Zhan Wang,,,,,
Modeling Spatial-Temporal Dynamics of Human Movements for Predicting Future Trajectories,John Folkesson,"AAAI Workshop: Knowledge, Skill, and Behavior…",2015,,,https://pdfs.semanticscholar.org/9291/9b0f018a7f599bfed1bb559241a0bfa01c69.pdf
,Patric Jensfelt,,,,,
,Zhan Wang,,,,,
Nationwide Impacts of Very Light Jet Traffic in the Future Next Generation Air Transportation System ( NGATS ),Antonio A. Trani,,2006,,,https://pdfs.semanticscholar.org/b118/f55f8e3a1d5bd72e9592d467b04864a83db1.pdf
,Hojong Baik,,,,,
Next place prediction using mobility Markov chains,Marc-Olivier Killijian,MPM '12,2012,10,49,http://dl.acm.org/citation.cfm?id=2181199
,Miguel N&#250;&#241;ez del Prado Cortez,,,,,
,S&#233;bastien Gambs,,,,,
Next-generation sequencing and genome evolution in allopolyploids.,Douglas Edward Soltis,American journal of botany,2012,2,41,https://www.ncbi.nlm.nih.gov/pubmed/22268220
,Richard J A Buggs,,,,,
,Simon Renny-Byfield,,,,,
Nicotinic receptor gene variants interact with attention deficient hyperactive disorder symptoms to predict smoking trajectories from early adolescence to adulthood.,Allison E. Ashley-Koch,Addictive behaviors,2013,1,,https://www.ncbi.nlm.nih.gov/pubmed/23899432
,B F Fuemmeler,,,,,
,Chien-Ti Lee,,,,,
,F. Joseph McClernon,,,,,
,Scott Haden Kollins,,,,,
Online Event Recognition from Moving Vessel Trajectories,Alexander Artikis,GeoInformatica,2017,,25,https://arxiv.org/pdf/1601.06041.pdf
,Elias Alevizos,,,,,
,Kostas Patroumpas,,,,,
,Marios Vodas,,,,,
,Nikos Pelekis,,,,,
,Yannis Theodoridis,,,,,
Past and Future Trees: Structures for predicting vehicle trajectories in real-time,Michael Hunter,Proceedings of the Winter Simulation Conference…,2014,,,http://dl.acm.org/citation.cfm?id=2694214
,Philip Pecher,,,,,
,Richard M. Fujimoto,,,,,
Past and Future Trees: Structures for predicting vehicle trajectories in real-time,Michael Hunter,Proceedings of the Winter Simulation Conference…,2014,,,http://dl.acm.org/citation.cfm?id=2694214
,Philip Pecher,,,,,
,Richard M. Fujimoto,,,,,
Patch to the Future: Unsupervised Visual Prediction,Abhinav Gupta,2014 IEEE Conference on Computer Vision and…,2014,7,47,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6909818
,Jacob Walker,,,,,
,Martial Hebert,,,,,
Predicting American Indian adolescent substance use trajectories following inpatient treatment.,Alison J. Boyd-Ball,Journal of ethnicity in substance abuse,2011,2,,https://www.ncbi.nlm.nih.gov/pubmed/21888498
,John Light,,,,,
,Michael W. Myers,,,,,
,Thomas J. Dishion,,,,,
Predicting Destinations with Smartphone Log using Trajectory-based HMMs,S. Kim,,2014,1,,https://pdfs.semanticscholar.org/6ce9/e4349bb9cff14333a3af72ebc69030674552.pdf
,Sung-Bae Cho,,,,,
Predicting Development Trajectories to Prevent Collaboration Conflicts,David Notkin,,2012,,,https://pdfs.semanticscholar.org/5026/80ac6ef1f77b528938a51c9e997b1a471614.pdf
,Kıvanç Mu_lu,,,,,
,Michael D. Ernst,,,,,
,Reid Holmes,,,,,
,Yuriy Brun,,,,,
Predicting Future Changes in Muskegon River Watershed Game Fish Distributions under Future Land Cover Alteration and Climate Change Scenarios,Jeffrey S. Schaeffer,,2010,1,,https://pdfs.semanticscholar.org/6096/ac5b4b0196585f14b89776c44ad13038fda8.pdf
,P. J. Steen,,,,,
Predicting Hurricane Trajectories using a Recurrent Neural Network,Adrián Pérez,ArXiv,2018,1,,https://arxiv.org/pdf/1802.02548.pdf
,Jonathan Beltran,,,,,
,Sam Ganzfried,,,,,
,Sheila Alemany,,,,,
Predicting Long-Term Trajectories of Connected Vehicles via the Prefix-Projection Technique,Junfeng Wang,IEEE Transactions on Intelligent Transportation…,2018,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8063439
,Louis Alberto Gutierrez,,,,,
,Nan Han,,,,,
,Rong-Hua Li,,,,,
,Shaojie Qiao,,,,,
,Xindong Wu,,,,,
Predicting Object Trajectories from High-Speed Streaming Data,Dimitrios Zissis,2015 IEEE Trustcom/BigDataSE/ISPA,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7345501
,Dimosthenis Anagnostopoulos,,,,,
,Konstantinos Tserpes,,,,,
,Nikolaos Zorbas,,,,,
Predicting Pedestrian Trajectories Using Velocity-Space Reasoning,Dinesh Manocha,WAFR,2012,,,https://pdfs.semanticscholar.org/17f5/712b77b25b3f35b88fb65101404ce6da6fae.pdf
,Ming C. Lin,,,,,
,Rynson W. H. Lau,,,,,
,Stephen J. Guy,,,,,
,Sunyoung Kim,,,,,
,Wenxi Liu,,,,,
Predicting Scene Parsing and Motion Dynamics in the Future,Huaxin Xiao,NIPS,2017,3,,https://arxiv.org/pdf/1711.03270.pdf
,Shuicheng Yan,,,,,
,Xiaojie Jin,,,,,
Predicting Shot Making in Basketball using Convolutional Neural Networks Learnt from Adversarial Multiagent Trajectories,Diego Klabjan,ArXiv,2016,,,https://pdfs.semanticscholar.org/f4fd/8f346112f05e3726c05b3f7a583c79883219.pdf
,Mark Harmon,,,,,
,Patrick Lucey,,,,,
Predicting User Locations and Trajectories,Eelco Herder,UMAP,2014,1,,https://pdfs.semanticscholar.org/077a/e228d5f96b25d229f69d47d71846a7b96ddb.pdf
,Patrick Siehndel,,,,,
,Ricardo Kawase,,,,,
Predicting User Locations and Trajectories,Eelco Herder,UMAP,2014,1,,https://pdfs.semanticscholar.org/077a/e228d5f96b25d229f69d47d71846a7b96ddb.pdf
,Patrick Siehndel,,,,,
,Ricardo Kawase,,,,,
Predicting Viral Infection From High-Dimensional Biomarker Trajectories.,Aimee K. Zaas,Journal of the American Statistical Association,2011,3,,https://pdfs.semanticscholar.org/98b8/58340873213797a2a081c8cb2ed2121a5ddf.pdf
,Lawrence Carin,,,,,
,Minhua Chen,,,,,
Predicting antibiotic resistance,Dan I Andersson,Nature Reviews Microbiology,2007,2,,http://doi.org/10.1038/nrmicro1796
,Fernando Baquero,,,,,
,José L Martínez,,,,,
Predicting ecological responses in a changing ocean: the effects of future climate uncertainty,Geraint A Tarling,Marine biology,2018,,,https://pdfs.semanticscholar.org/5536/96edda5ddff384b3c391deda5cbd153b206d.pdf
,Jennifer J Freer,,,,,
,Julian C. Partridge,,,,,
,Martin A Collins,,,,,
,Martin J Genner,,,,,
Predicting evolutionary responses to climate change in the sea.,Dustin J Marshall,Ecology letters,2013,7,48,https://pdfs.semanticscholar.org/891e/44c4ebabb87520472dcb369d76d59e911522.pdf
,John M Pandolfi,,,,,
,Keyne Monro,,,,,
,Philip L Munday,,,,,
,Robert R. Warner,,,,,
Predicting future locations using clusters' centroids,Mark Last,GIS,2007,1,,http://dl.acm.org/citation.cfm?id=1341079
,Oded Maimon,,,,,
,Sigal Elnekave,,,,,
Predicting future locations with hidden Markov models,Bruno Martins,UbiComp,2012,16,72,http://dl.acm.org/citation.cfm?id=2370421
,Ruben Raposo,,,,,
,Wesley Mathew,,,,,
Predicting future motion.,Preeti Verghese,Journal of vision,2002,3,,https://pdfs.semanticscholar.org/b16d/9312aadaaf4d6075a2c6a5f5675e7ac63f0f.pdf
,Suzanne P. McKee,,,,,
Predicting golf ball trajectories from swing plane: An artificial neural networks approach,Boris Bacic,Expert Syst. Appl.,2016,,,http://doi.org/10.1016/j.eswa.2016.07.014
Predicting healthcare trajectories from medical records: A deep learning approach,Dinh Q. Phung,Journal of Biomedical Informatics,2017,1,12,https://www.ncbi.nlm.nih.gov/pubmed/28410981
,Svetha Venkatesh,,,,,
,Trang Pham,,,,,
,Truyen Tran,,,,,
Predicting healthcare trajectories from medical records: A deep learning approach,Dinh Q. Phung,Journal of Biomedical Informatics,2017,1,12,https://www.ncbi.nlm.nih.gov/pubmed/28410981
,Svetha Venkatesh,,,,,
,Trang Pham,,,,,
,Truyen Tran,,,,,
Predicting initialization effectiveness for trajectory optimization,Jia Pan,2014 IEEE International Conference on Robotics…,2014,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6907620
,Pieter Abbeel,,,,,
,Zhuo Chen,,,,,
Predicting next location using a variable order Markov model,Jian Xu,IWGS,2014,,,http://dl.acm.org/citation.cfm?id=2676557
,Jie Yang,,,,,
,Ming Xu,,,,,
,Ning Zheng,,,,,
,Yu Chen,,,,,
Predicting the next turn at road junction from big traffic data,Kyungeun Cho,The Journal of Supercomputing,2017,,,http://doi.org/10.1007/s11227-017-2013-y
,Meng Yuan,,,,,
,Raymond K. Wong,,,,,
,Simon Fong,,,,,
,Yan Zhuang,,,,,
,Yunsick Sung,,,,,
Predicting wide receiver trajectories in American football,Kris M. Kitani,2016 IEEE Winter Conference on Applications of…,2016,1,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7477732
,Namhoon Lee,,,,,
Predicting wide receiver trajectories in American football,Kris M. Kitani,2016 IEEE Winter Conference on Applications of…,2016,1,9,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7477732
,Namhoon Lee,,,,,
Predictive spatio-temporal queries: a comprehensive survey and future directions,Abdeltawab M. Hendawi,MobiGIS,2012,,,http://dl.acm.org/citation.cfm?id=2442828
,Mohamed F. Mokbel,,,,,
Predictors of functional limitation trajectories after injury in a nationally representative U.S. older adult population.,Ben L. Zarzaur,Annals of epidemiology,2015,,,https://www.ncbi.nlm.nih.gov/pubmed/26481503
,Esra Ozdenerol,,,,,
,George E. Relyea,,,,,
,Junling Wang,,,,,
,Robert J Nolly,,,,,
,Teresa Maria Bell,,,,,
Print-Speech Convergence Predicts Future Reading Outcomes in Early Readers.,Jonathan L. Preston,Psychological science,2016,,,https://pdfs.semanticscholar.org/9cbd/9954b38f373062a61e007904f96fe31fa072.pdf
,Kenneth R. Pugh,,,,,
,Peter J. Molfese,,,,,
Quadrupole Alignment and Trajectory Correc- Tion for Future Linear Colliders: Slc Tests of a Dispersion-free Steering Algorithm,F. J. Decker,,1998,,,https://pdfs.semanticscholar.org/4528/87495673186edd1b915f07f3f432230951e4.pdf
,M..,,,,,
,R.,,,,,
,T. Chen,,,,,
STF-RNN: Space Time Features-based Recurrent Neural Network for predicting people next location,Abdulrahman Al-Molegi,2016 IEEE Symposium Series on Computational…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7849919
,Baraq Ghaleb,,,,,
,Mohammed Jabreel,,,,,
STRIPES: An Efficient Index for Predicted Trajectories,Jignesh M. Patel,SIGMOD Conference,2004,25,,http://dl.acm.org/citation.cfm?id=1007639
,V. Prasad Chakka,,,,,
,Yun Chen,,,,,
Semantic trajectories modeling and analysis,Christine Parent,ACM Comput. Surv.,2013,9,46,http://dl.acm.org/citation.cfm?id=2501656
,Stefano Spaccapietra,,,,,
,Zhixian Yan,,,,,
Semantic trajectory mining for location prediction,Jia-Ching Ying,GIS,2011,10,33,http://dl.acm.org/citation.cfm?id=2093980
,Tz-Chiao Weng,,,,,
,Vincent S. Tseng,,,,,
,Wang-Chien Lee,,,,,
Sexual orientation and substance use trajectories in emerging adulthood.,Amelia E. Talley,Addiction,2010,2,,https://pdfs.semanticscholar.org/b5b4/ea1fcdd8e7e65ee0e10b7794b73c8fdc646b.pdf
